Data,Organisation unit,Period,Value,Numerator,Denominator,Factor,Multiplier,Divisor
LSB: Children under 5 years (Estimated),0206 Nyot-ou,2016,3900,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0608 Phonxai,2018,920,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0608 Phonxai,2019,890,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0608 Phonxai,2016,1052,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0608 Phonxai,2017,946,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0403 Namoh,2019,1023,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0403 Namoh,2018,1021,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0403 Namoh,2017,1019,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0403 Namoh,2016,1159,,,,,
LSB: Children under 5 years (Estimated),0206 Nyot-ou,2020,3381,,,,,
LSB: Children under 5 years (Estimated),0206 Nyot-ou,2021,3325,,,,,
LSB: Children under 5 years (Estimated),0206 Nyot-ou,2022,3269,,,,,
LSB: Children under 5 years (Estimated),0206 Nyot-ou,2023,3215,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1101 Pakxan,2015,13135,,,,,
LSB: Survival under 1 year (Estimated),0703 Hiam,2016,314,,,,,
LSB: Survival under 1 year (Estimated),0703 Hiam,2015,289,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1101 Pakxan,2017,13563,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1101 Pakxan,2016,13355,,,,,
LSB: Survival under 1 year (Estimated),0703 Hiam,2019,307,,,,,
LSB: Survival under 1 year (Estimated),0703 Hiam,2018,309,,,,,
LSB: Survival under 1 year (Estimated),0703 Hiam,2017,311,,,,,
LSB: Births Live (Estimated),0302 Sing,2018,1008,,,,,
LSB: Births Live (Estimated),0302 Sing,2017,1016,,,,,
LSB: Births Live (Estimated),0302 Sing,2016,1025,,,,,
LSB: Births Live (Estimated),0302 Sing,2015,1173,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1101 Pakxan,2019,13939,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1301 Kaysone Phomvihane,2015,37758,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1101 Pakxan,2018,13759,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1301 Kaysone Phomvihane,2016,38464,,,,,
LSB: Births Live (Estimated),0302 Sing,2019,998,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1301 Kaysone Phomvihane,2017,39142,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1101 Pakxan,2020,14105,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1101 Pakxan,2022,14413,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1101 Pakxan,2021,14260,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1101 Pakxan,2023,14557,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1305 Xepon,2021,15991,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1305 Xepon,2020,15515,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1305 Xepon,2023,17046,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1305 Xepon,2022,16505,,,,,
LSB: Survival under 1 year (Estimated),0703 Hiam,2023,288,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0807 Paklay,2021,1488,,,,,
LSB: Survival under 1 year (Estimated),0703 Hiam,2022,293,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0807 Paklay,2020,1515,,,,,
LSB: Survival under 1 year (Estimated),0703 Hiam,2021,298,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0807 Paklay,2023,1408,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0807 Paklay,2022,1447,,,,,
LSB: Survival under 1 year (Estimated),0703 Hiam,2020,301,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1009 Viangkham (Vientiane),2015,4907,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1305 Xepon,2018,14669,,,,,
LSB: Population (Estimated-single age),0906 Phoukout,2020,26437,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1305 Xepon,2017,14290,,,,,
LSB: Population (Estimated-single age),0906 Phoukout,2022,26691,,,,,
LSB: Population (Estimated-single age),0906 Phoukout,2021,26581,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1305 Xepon,2019,15071,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1305 Xepon,2016,13921,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1305 Xepon,2015,13551,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1009 Viangkham (Vientiane),2017,5023,,,,,
LSB: Children under 5 years (Estimated),1302 Outhoumphon,2023,9865,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1009 Viangkham (Vientiane),2016,4964,,,,,
LSB: Children under 5 years (Estimated),1302 Outhoumphon,2022,9974,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1009 Viangkham (Vientiane),2019,5129,,,,,
LSB: Children under 5 years (Estimated),1302 Outhoumphon,2021,10122,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1009 Viangkham (Vientiane),2018,5080,,,,,
LSB: Population (Estimated-single age),0906 Phoukout,2023,26817,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1009 Viangkham (Vientiane),2020,5173,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1009 Viangkham (Vientiane),2022,5242,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0807 Paklay,2016,1486,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1009 Viangkham (Vientiane),2021,5214,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0807 Paklay,2018,1568,,,,,
LSB: Children under 5 years (Estimated),1302 Outhoumphon,2020,10305,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0807 Paklay,2017,1591,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1009 Viangkham (Vientiane),2023,5271,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0807 Paklay,2019,1542,,,,,
LSB: Children under 5 years (Estimated),1302 Outhoumphon,2019,10250,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0708 Et,2023,626,,,,,
LSB: Children under 5 years (Estimated),1302 Outhoumphon,2018,10137,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0708 Et,2021,656,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0708 Et,2022,641,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0708 Et,2020,665,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1301 Kaysone Phomvihane,2020,40932,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1301 Kaysone Phomvihane,2021,41429,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1102 Thaphabat,2015,6777,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1301 Kaysone Phomvihane,2022,41868,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1301 Kaysone Phomvihane,2023,42271,,,,,
LSB: Children under 5 years (Estimated),1302 Outhoumphon,2017,9973,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1102 Thaphabat,2018,6981,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1102 Thaphabat,2019,7037,,,,,
LSB: Children under 5 years (Estimated),1302 Outhoumphon,2016,9766,,,,,
LSB: Children under 5 years (Estimated),1302 Outhoumphon,2015,9519,,,,,
LSB: Population (Estimated-single age),1802 Thathom,2015,20923,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1102 Thaphabat,2016,6853,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1102 Thaphabat,2017,6923,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1301 Kaysone Phomvihane,2018,39778,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1301 Kaysone Phomvihane,2019,40379,,,,,
LSB: Population (Estimated-single age),0403 Namoh,2023,46320,,,,,
LSB: Population (Estimated-single age),0206 Nyot-ou,2015,32094,,,,,
LSB: Population (Estimated-single age),0403 Namoh,2021,44870,,,,,
LSB: Population (Estimated-single age),0206 Nyot-ou,2016,32383,,,,,
LSB: Population (Estimated-single age),0206 Nyot-ou,2017,32650,,,,,
LSB: Population (Estimated-single age),0403 Namoh,2022,45610,,,,,
LSB: Population (Estimated-single age),0206 Nyot-ou,2018,32903,,,,,
LSB: Population (Estimated-single age),0206 Nyot-ou,2019,33117,,,,,
LSB: Population (Estimated-single age),0403 Namoh,2020,44138,,,,,
LSB: Population (Estimated-single age),0403 Namoh,2016,41130,,,,,
LSB: Population (Estimated-single age),0403 Namoh,2017,41879,,,,,
LSB: Population (Estimated-single age),0403 Namoh,2015,40396,,,,,
LSB: Population (Estimated-single age),0403 Namoh,2018,42644,,,,,
LSB: Population (Estimated-single age),0403 Namoh,2019,43397,,,,,
LSB: Survival under 1 year (Estimated),1006 Fuang,2020,884,,,,,
LSB: Survival under 1 year (Estimated),1006 Fuang,2021,889,,,,,
LSB: Survival under 1 year (Estimated),1006 Fuang,2022,894,,,,,
LSB: Survival under 1 year (Estimated),1006 Fuang,2023,899,,,,,
LSB: Survival under 1 year (Estimated),1006 Fuang,2015,1062,,,,,
LSB: Population (Estimated-single age),0608 Phonxai,2015,33928,,,,,
LSB: Survival under 1 year (Estimated),1006 Fuang,2016,941,,,,,
LSB: Survival under 1 year (Estimated),1006 Fuang,2017,929,,,,,
LSB: Population (Estimated-single age),0608 Phonxai,2017,34764,,,,,
LSB: Survival under 1 year (Estimated),1006 Fuang,2018,915,,,,,
LSB: Population (Estimated-single age),0608 Phonxai,2016,34348,,,,,
LSB: Survival under 1 year (Estimated),1006 Fuang,2019,900,,,,,
LSB: Population (Estimated-single age),0608 Phonxai,2019,35456,,,,,
LSB: Population (Estimated-single age),0608 Phonxai,2018,35119,,,,,
LSB: Population (Estimated-single age),0206 Nyot-ou,2021,33466,,,,,
LSB: Population (Estimated-single age),0206 Nyot-ou,2022,33623,,,,,
LSB: Population (Estimated-single age),0206 Nyot-ou,2023,33748,,,,,
LSB: Births Live (Estimated),0205 Bounnua,2020,521,,,,,
LSB: Births Live (Estimated),0205 Bounnua,2023,520,,,,,
LSB: Population (Estimated-single age),0608 Phonxai,2020,35759,,,,,
LSB: Births Live (Estimated),0205 Bounnua,2021,520,,,,,
LSB: Population (Estimated-single age),0608 Phonxai,2022,36271,,,,,
LSB: Births Live (Estimated),0205 Bounnua,2022,520,,,,,
LSB: Population (Estimated-single age),0608 Phonxai,2021,36032,,,,,
LSB: Births Live (Estimated),0205 Bounnua,2016,533,,,,,
LSB: Births Live (Estimated),0205 Bounnua,2017,530,,,,,
LSB: Population (Estimated-single age),0608 Phonxai,2023,36474,,,,,
LSB: Births Live (Estimated),0205 Bounnua,2015,657,,,,,
LSB: Births Live (Estimated),0205 Bounnua,2018,526,,,,,
LSB: Births Live (Estimated),0205 Bounnua,2019,522,,,,,
LSB: Population (Estimated-single age),0206 Nyot-ou,2020,33293,,,,,
LSB: Children under 5 years (Estimated),0906 Phoukout,2023,2648,,,,,
LSB: Children under 5 years (Estimated),0906 Phoukout,2022,2700,,,,,
LSB: Children under 5 years (Estimated),0906 Phoukout,2016,3047,,,,,
LSB: Children under 5 years (Estimated),0906 Phoukout,2015,3090,,,,,
LSB: Children under 5 years (Estimated),0906 Phoukout,2018,2937,,,,,
LSB: Children under 5 years (Estimated),0906 Phoukout,2017,2996,,,,,
LSB: Children under 5 years (Estimated),0906 Phoukout,2019,2871,,,,,
LSB: Children under 5 years (Estimated),0608 Phonxai,2019,4549,,,,,
LSB: Children under 5 years (Estimated),0608 Phonxai,2016,5017,,,,,
LSB: Children under 5 years (Estimated),0608 Phonxai,2015,5122,,,,,
LSB: Children under 5 years (Estimated),0608 Phonxai,2018,4736,,,,,
LSB: Children under 5 years (Estimated),0608 Phonxai,2017,4890,,,,,
LSB: Children under 5 years (Estimated),0906 Phoukout,2021,2749,,,,,
LSB: Children under 5 years (Estimated),0906 Phoukout,2020,2794,,,,,
LSB: Population (Estimated-single age),1303 Atsaphangthong,2019,49503,,,,,
LSB: Population (Estimated-single age),1303 Atsaphangthong,2018,48780,,,,,
LSB: Population (Estimated-single age),1303 Atsaphangthong,2015,46675,,,,,
LSB: Population (Estimated-single age),1303 Atsaphangthong,2017,48069,,,,,
LSB: Population (Estimated-single age),1303 Atsaphangthong,2016,47362,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1102 Thaphabat,2021,7130,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1102 Thaphabat,2022,7175,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1102 Thaphabat,2020,7087,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1401 Salavan,2016,2778,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1401 Salavan,2018,2519,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1102 Thaphabat,2023,7216,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1401 Salavan,2017,2500,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1401 Salavan,2019,2530,,,,,
LSB: Children under 5 years (Estimated),1303 Atsaphangthong,2016,5065,,,,,
LSB: Children under 5 years (Estimated),1303 Atsaphangthong,2015,5179,,,,,
LSB: Children under 5 years (Estimated),1303 Atsaphangthong,2018,4850,,,,,
LSB: Children under 5 years (Estimated),1303 Atsaphangthong,2017,4957,,,,,
LSB: Children under 5 years (Estimated),1303 Atsaphangthong,2019,4748,,,,,
